
title,subtitle,description,discount,old_price,new_price,date,images,category
Sharp,"ULTRA HD SMART TV »50GM6245E«, mit Sprachsteuerung","{""Bildschirmgröße"": "": 50\"""", ""Auflösung"": "": 4K""}",-42%,N/A,345.96,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp9a607f09bc2647ebbb75045a04b10a54.jpg"", ""https://www.lidl.de/assets/gcp10f53fbf037044a4b217383388f04317.jpg"", ""https://www.lidl.de/assets/gcp4aad17f5aab84da1a9616b92bbe7a467.jpg"", ""https://www.lidl.de/assets/gcp9a607f09bc2647ebbb75045a04b10a54.jpg"", ""https://www.lidl.de/assets/gcp10f53fbf037044a4b217383388f04317.jpg"", ""https://www.lidl.de/assets/gcp4aad17f5aab84da1a9616b92bbe7a467.jpg"", ""https://www.lidl.de/assets/gcp9a607f09bc2647ebbb75045a04b10a54.jpg"", ""https://www.lidl.de/assets/gcp10f53fbf037044a4b217383388f04317.jpg"", ""https://www.lidl.de/assets/gcp4aad17f5aab84da1a9616b92bbe7a467.jpg""]}",Multimedia
SILVERCREST®,"Soundbar 2.0 »Dolby Atmos®«, zusätzliche Bass- und Höheneinstellungen",N/A,N/A,N/A,77.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpf99b38ac2e664120a579ac85e8dbb08f.jpg"", ""https://www.lidl.de/assets/gcpb48d1b60275f475c9e767ea5739a847a.jpg"", ""https://www.lidl.de/assets/gcpd97467762a144ed1ba1cb0bb2fd981f7.jpg"", ""https://www.lidl.de/assets/gcpf99b38ac2e664120a579ac85e8dbb08f.jpg"", ""https://www.lidl.de/assets/gcpb48d1b60275f475c9e767ea5739a847a.jpg"", ""https://www.lidl.de/assets/gcpd97467762a144ed1ba1cb0bb2fd981f7.jpg"", ""https://www.lidl.de/assets/gcpf99b38ac2e664120a579ac85e8dbb08f.jpg"", ""https://www.lidl.de/assets/gcpb48d1b60275f475c9e767ea5739a847a.jpg"", ""https://www.lidl.de/assets/gcpd97467762a144ed1ba1cb0bb2fd981f7.jpg""]}",Multimedia
TELEFUNKEN,»QFAN750S« Fernseher QLED Android Smart TV Full HD,"{""Bildschirmgröße"": "":"", ""Auflösung"": "":""}",-27%,N/A,217.52,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp57e66ad281a0469bbd67a76552b1d49b.jpg""]}",Multimedia
Hisense,"Fernseher »A4K« Smart TV, Triple Tuner DVB-T2 / T/C / S2 / S, Works with Alexa, WiFi, Game Mode, Hotel Mode (40 Zoll)","{""32 Zoll Smart TV"": ""HD Ready 1.366 x 768 / Triple-Tuner"", ""40 Zoll Smart TV"": ""Full HD 1.920 x 1.080 / Triple-Tuner""}",-47%,N/A,210.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpf42b6a25e22a4bb0ac465b4c478b3c37.jpeg"", ""https://www.lidl.de/assets/gcp133db0ff5e904ab3b2e2de674c8db4bc.jpeg"", ""https://www.lidl.de/assets/gcp92114a8a7e3844339c60b11cd8a84632.jpeg"", ""https://www.lidl.de/assets/gcpf42b6a25e22a4bb0ac465b4c478b3c37.jpeg"", ""https://www.lidl.de/assets/gcp133db0ff5e904ab3b2e2de674c8db4bc.jpeg"", ""https://www.lidl.de/assets/gcp92114a8a7e3844339c60b11cd8a84632.jpeg"", ""https://www.lidl.de/assets/gcpf42b6a25e22a4bb0ac465b4c478b3c37.jpeg"", ""https://www.lidl.de/assets/gcp133db0ff5e904ab3b2e2de674c8db4bc.jpeg"", ""https://www.lidl.de/assets/gcp92114a8a7e3844339c60b11cd8a84632.jpeg""]}",Multimedia
TELEFUNKEN,Fernseher »XUAN754M« 4K UHD Android Smart TV (55 Zoll),"{""Bildschirmgröße"": "":"", ""Auflösung"": "":""}",-18%,N/A,375.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpa08ad99be5c14bfb86fd0e39cad24c64.jpeg"", ""https://www.lidl.de/assets/gcpf8d5859f8aa2451184cbae753f41954b.jpeg"", ""https://www.lidl.de/assets/gcp415a755f03e74438bee05b7702fa54f7.jpeg"", ""https://www.lidl.de/assets/gcpa08ad99be5c14bfb86fd0e39cad24c64.jpeg"", ""https://www.lidl.de/assets/gcpf8d5859f8aa2451184cbae753f41954b.jpeg"", ""https://www.lidl.de/assets/gcp415a755f03e74438bee05b7702fa54f7.jpeg"", ""https://www.lidl.de/assets/gcpa08ad99be5c14bfb86fd0e39cad24c64.jpeg"", ""https://www.lidl.de/assets/gcpf8d5859f8aa2451184cbae753f41954b.jpeg"", ""https://www.lidl.de/assets/gcp415a755f03e74438bee05b7702fa54f7.jpeg""]}",Multimedia
TELEFUNKEN,Fernseher »XFTO750S« TiVo Smart TV Full HD,"{""Bildschirmgröße"": "": 32 Zoll (80 cm), 40 Zoll (100 cm), 43 Zoll (108 cm)"", ""Auflösung"": "": Full HD""}",-39%,N/A,169.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpbe9e558e3b68464898771af80925394d.jpeg""]}",Multimedia
TOSHIBA,Fernseher »LA3E63DAZ« Android Smart TV Full HD (40 Zoll),"{""Bildschirmgröße"": "": 32 Zoll, 40 Zoll"", ""Auflösung"": "": Full-HD""}",-38%,N/A,235.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpd495cc1d3c604235bd9e91820aa12877.jpeg"", ""https://www.lidl.de/assets/gcpddc04c8e7b9948b7b3687eca97651edb.jpeg"", ""https://www.lidl.de/assets/gcp48191efda87442aaac47424e0ce451fe.jpeg"", ""https://www.lidl.de/assets/gcpd495cc1d3c604235bd9e91820aa12877.jpeg"", ""https://www.lidl.de/assets/gcpddc04c8e7b9948b7b3687eca97651edb.jpeg"", ""https://www.lidl.de/assets/gcp48191efda87442aaac47424e0ce451fe.jpeg"", ""https://www.lidl.de/assets/gcpd495cc1d3c604235bd9e91820aa12877.jpeg"", ""https://www.lidl.de/assets/gcpddc04c8e7b9948b7b3687eca97651edb.jpeg"", ""https://www.lidl.de/assets/gcp48191efda87442aaac47424e0ce451fe.jpeg""]}",Multimedia
TELEFUNKEN,Fernseher »QUTO750S« QLED TiVo Smart TV 4K UHD,"{""Bildschirmgröße"": "": 43 Zoll (108 cm), 50 Zoll (126 cm), 55 Zoll (139 cm), 65 Zoll (164 cm)"", ""Auflösung"": "": 4K UHD""}",-36%,N/A,265.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpe8d8364ff5084733a706db106161abc2.jpeg""]}",Multimedia
TELEFUNKEN,Fernseher »XH24SN550MVD« HD ready Smart TV,"{""24 Zoll Smart TV"": ""HD ready / DVB-T2 / -C / -S2""}",-31%,N/A,199.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpc3a57a6ae1754f23b1aeea576902697f.jpeg""]}",Multimedia
TOSHIBA,Fernseher »QV2363DAW« 4K UHD QLED VIDAA Smart TV,"{""Bildschirmgröße"": "": 43 Zoll, 50 Zoll, 55 Zoll, 65 Zoll"", ""Auflösung"": "": 4K UHD""}",-32%,N/A,305.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp8abf8b9339da48c8ae37850e70e3906e.jpeg""]}",Multimedia
