title,subtitle,description,discount,old_price,new_price,date,images,categorie
PARKSIDE®,"Hochbeet, aus Holz (Hochbeet)",N/A,N/A,N/A,39.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcpa183f1e75d644e81b1357cb9360266d1.jpeg"", ""https://www.lidl.de/assets/gcp4bd810daac1243fca8eda2775e183f4f.jpeg"", ""https://www.lidl.de/assets/gcp2ec6f6662c0d45f6981115f57311a082.jpeg"", ""https://www.lidl.de/assets/gcpa183f1e75d644e81b1357cb9360266d1.jpeg"", ""https://www.lidl.de/assets/gcp4bd810daac1243fca8eda2775e183f4f.jpeg"", ""https://www.lidl.de/assets/gcp2ec6f6662c0d45f6981115f57311a082.jpeg"", ""https://www.lidl.de/assets/gcpa183f1e75d644e81b1357cb9360266d1.jpeg"", ""https://www.lidl.de/assets/gcp4bd810daac1243fca8eda2775e183f4f.jpeg"", ""https://www.lidl.de/assets/gcp2ec6f6662c0d45f6981115f57311a082.jpeg""]}",garten & Balkon
HABAU,"HABAU Hochbeet mit Ablage, inkl. Pflanzfolie, 117 x 90 x 59 cm, stabile Holzkonstruktion","{""Material"": ""Holz"", ""Maße"": ""117 x 90 x 59 cm""}",-20%,N/A,119.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/b1795f051933cbdade81661df9c07e4d.jpeg"", ""https://www.lidl.de/assets/fb6dba65265c78549de1174fc17cbe3d.jpeg"", ""https://www.lidl.de/assets/a276a2be95134b4ee1bc9e1099d5f2eb.jpeg"", ""https://www.lidl.de/assets/b1795f051933cbdade81661df9c07e4d.jpeg"", ""https://www.lidl.de/assets/fb6dba65265c78549de1174fc17cbe3d.jpeg"", ""https://www.lidl.de/assets/a276a2be95134b4ee1bc9e1099d5f2eb.jpeg"", ""https://www.lidl.de/assets/b1795f051933cbdade81661df9c07e4d.jpeg"", ""https://www.lidl.de/assets/fb6dba65265c78549de1174fc17cbe3d.jpeg"", ""https://www.lidl.de/assets/a276a2be95134b4ee1bc9e1099d5f2eb.jpeg""]}",garten & Balkon
SIENA GARDEN,Balkonmöbelset »Palma« 3-teilig,"{""Merkmale"": ""besonders standfest und stabil"", ""Material"": ""aus pulverbeschichtetem Stahl"", ""Maße"": ""ca. B 106 x H 90 x T 50 cm""}",-16%,N/A,335.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/6031efb56265dccbca6deb9de812c30b.jpeg""]}",garten & Balkon
PARKSIDE®,"Hochbeet, L 100 x B 40 x H 80 cm, aus Metall (Grün)",N/A,-16%,N/A,24.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp529ac52809cb45699775bda7afdd77ee.jpg"", ""https://www.lidl.de/assets/gcp13afad14c14145bf9cdd5f55a13bbe93.jpg"", ""https://www.lidl.de/assets/gcp4c6121aa7d7a43bdb1819bb28d93e53c.jpg"", ""https://www.lidl.de/assets/gcp529ac52809cb45699775bda7afdd77ee.jpg"", ""https://www.lidl.de/assets/gcp13afad14c14145bf9cdd5f55a13bbe93.jpg"", ""https://www.lidl.de/assets/gcp4c6121aa7d7a43bdb1819bb28d93e53c.jpg"", ""https://www.lidl.de/assets/gcp529ac52809cb45699775bda7afdd77ee.jpg"", ""https://www.lidl.de/assets/gcp13afad14c14145bf9cdd5f55a13bbe93.jpg"", ""https://www.lidl.de/assets/gcp4c6121aa7d7a43bdb1819bb28d93e53c.jpg""]}",garten & Balkon
Vitavia,Vitavia Gartengewächshaus-Set Venus,"{""Material"": ""Aluminium / Poylcarbonat"", ""Grundflächen"": ""ca. 2,5 / 3,8 / 5,0 / 6,2 m²"", ""Farbe"": ""Aluminium eloxiert""}",-43%,N/A,259.05,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/d9a80121c0775b18c8940995e9f338d6.jpeg"", ""https://www.lidl.de/assets/0bf904e36803d1fa6449771afed88800.jpeg"", ""https://www.lidl.de/assets/3d2d3da2e892b3fa8c3c775c1dd89539.jpeg"", ""https://www.lidl.de/assets/d9a80121c0775b18c8940995e9f338d6.jpeg"", ""https://www.lidl.de/assets/0bf904e36803d1fa6449771afed88800.jpeg"", ""https://www.lidl.de/assets/3d2d3da2e892b3fa8c3c775c1dd89539.jpeg"", ""https://www.lidl.de/assets/d9a80121c0775b18c8940995e9f338d6.jpeg"", ""https://www.lidl.de/assets/0bf904e36803d1fa6449771afed88800.jpeg"", ""https://www.lidl.de/assets/3d2d3da2e892b3fa8c3c775c1dd89539.jpeg""]}",garten & Balkon
PARKSIDE®,"Gewächshaus, 69 x 160 x 49 cm, mit Regalböden","{""Material"": "": Kunststoff, Stahl"", ""Maße"": "": ca. 69 x 160 x 49 cm""}",N/A,N/A,32.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcpa1b8fd56b6824e3e9d55060418537e6f.jpg"", ""https://www.lidl.de/assets/gcp49a0eeb6a85e4d9ebdccaac27cafcd0d.jpg"", ""https://www.lidl.de/assets/gcp4f0450821f614572abc7c286f1d003e7.jpg"", ""https://www.lidl.de/assets/gcpa1b8fd56b6824e3e9d55060418537e6f.jpg"", ""https://www.lidl.de/assets/gcp49a0eeb6a85e4d9ebdccaac27cafcd0d.jpg"", ""https://www.lidl.de/assets/gcp4f0450821f614572abc7c286f1d003e7.jpg"", ""https://www.lidl.de/assets/gcpa1b8fd56b6824e3e9d55060418537e6f.jpg"", ""https://www.lidl.de/assets/gcp49a0eeb6a85e4d9ebdccaac27cafcd0d.jpg"", ""https://www.lidl.de/assets/gcp4f0450821f614572abc7c286f1d003e7.jpg""]}",garten & Balkon
Prosperplast,"Prosperplast Rasenkante «Palisada», 10er Set, Beeteinfassung mit Gesamtlänge 2,7 m",N/A,N/A,N/A,23.77,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/b6f8754cc55bcbd813dcc00464ca6d98.jpeg"", ""https://www.lidl.de/assets/c81d2168a987d0c37f7a0dac72c2d48a.jpeg"", ""https://www.lidl.de/assets/2f91dcc503eb614062708b77f94b7145.jpeg"", ""https://www.lidl.de/assets/b6f8754cc55bcbd813dcc00464ca6d98.jpeg"", ""https://www.lidl.de/assets/c81d2168a987d0c37f7a0dac72c2d48a.jpeg"", ""https://www.lidl.de/assets/2f91dcc503eb614062708b77f94b7145.jpeg"", ""https://www.lidl.de/assets/b6f8754cc55bcbd813dcc00464ca6d98.jpeg"", ""https://www.lidl.de/assets/c81d2168a987d0c37f7a0dac72c2d48a.jpeg"", ""https://www.lidl.de/assets/2f91dcc503eb614062708b77f94b7145.jpeg""]}",garten & Balkon
Promadino,"Promadino Kräuterbeet, Hochbeet mit Ablage, inkl. Pflanzfolie","{""Material"": ""Kiefernholz"", ""Maße"": ""L 114 x B 60 x H 84,5 cm"", ""Volumen"": ""ca. 103 Liter""}",Billiger,N/A,109.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/96953fdd37a5b33c8241004a35f8e22e.jpeg"", ""https://www.lidl.de/assets/9efbbea238d2e47f7447ee8384265baf.jpeg"", ""https://www.lidl.de/assets/gcp732fabf535ce4df6aa636a42e6e6366d.jpg"", ""https://www.lidl.de/assets/96953fdd37a5b33c8241004a35f8e22e.jpeg"", ""https://www.lidl.de/assets/9efbbea238d2e47f7447ee8384265baf.jpeg"", ""https://www.lidl.de/assets/gcp732fabf535ce4df6aa636a42e6e6366d.jpg"", ""https://www.lidl.de/assets/96953fdd37a5b33c8241004a35f8e22e.jpeg"", ""https://www.lidl.de/assets/9efbbea238d2e47f7447ee8384265baf.jpeg"", ""https://www.lidl.de/assets/gcp732fabf535ce4df6aa636a42e6e6366d.jpg""]}",garten & Balkon
Prosperplast,"Rasenkante »Palisada«, mit Kabelführung, 8er Set",N/A,N/A,N/A,21.63,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/9bb8e4f5e4316881f899bd3ce34caf81.jpeg"", ""https://www.lidl.de/assets/gcpc067f5164eca4a109673e0292d286559.jpeg"", ""https://www.lidl.de/assets/9bb8e4f5e4316881f899bd3ce34caf81.jpeg"", ""https://www.lidl.de/assets/gcpc067f5164eca4a109673e0292d286559.jpeg"", ""https://www.lidl.de/assets/9bb8e4f5e4316881f899bd3ce34caf81.jpeg"", ""https://www.lidl.de/assets/gcpc067f5164eca4a109673e0292d286559.jpeg""]}",garten & Balkon
PARKSIDE®,"Mini-Hochbeet, max. 10 kg","{""Material"": "": Stahl"", ""Pflanzvolumen"": "": 20 l"", ""Maße"": "": ca. B 60 x H 45 x T 27 cm""}",N/A,N/A,12.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp7a8ded96a0e84081923b28d7577d41a7.jpg"", ""https://www.lidl.de/assets/gcpf63ddfdc1fb54239a62b9ba941a78d61.jpg"", ""https://www.lidl.de/assets/gcp91b29e052d4d4f7998fccc6c48a673ec.jpg"", ""https://www.lidl.de/assets/gcp7a8ded96a0e84081923b28d7577d41a7.jpg"", ""https://www.lidl.de/assets/gcpf63ddfdc1fb54239a62b9ba941a78d61.jpg"", ""https://www.lidl.de/assets/gcp91b29e052d4d4f7998fccc6c48a673ec.jpg"", ""https://www.lidl.de/assets/gcp7a8ded96a0e84081923b28d7577d41a7.jpg"", ""https://www.lidl.de/assets/gcpf63ddfdc1fb54239a62b9ba941a78d61.jpg"", ""https://www.lidl.de/assets/gcp91b29e052d4d4f7998fccc6c48a673ec.jpg""]}",garten & Balkon
